,symboling,normalized-losses,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,make_le,body-style_le,drive-wheels_le,engine-location_le,engine-type_le,fuel-system_le,aspiration_le,fuel_type_le
0,3,122,std,2,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548,dohc,4,130,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,0,0,2,0,0,5,0,1
1,3,122,std,2,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548,dohc,4,130,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,0,0,2,0,0,5,0,1
2,1,122,std,2,front,94.5,0.8226814031715521,0.9059474412171508,0.8762541806020067,2823,ohcv,6,152,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,0,2,2,0,5,5,0,1
3,2,164,std,4,front,99.8,0.8486304661220567,0.9156293222683265,0.9080267558528428,2337,ohc,4,109,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,1,3,1,0,3,5,0,1
4,2,164,std,4,front,99.4,0.8486304661220567,0.9183955739972338,0.9080267558528428,2824,ohc,5,136,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,1,3,0,0,3,5,0,1
5,2,122,std,2,front,99.8,0.8519942335415667,0.91701244813278,0.8879598662207359,2507,ohc,5,136,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,1,3,1,0,3,5,0,1
6,1,158,std,4,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2844,ohc,5,136,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,1,3,1,0,3,5,0,1
7,1,122,std,4,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2954,ohc,5,136,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,1,4,1,0,3,5,0,1
8,1,158,turbo,4,front,105.8,0.9259971167707832,0.9875518672199172,0.9347826086956522,3086,ohc,5,131,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,1,3,1,0,3,5,1,1
9,0,122,turbo,2,front,99.5,0.8563190773666506,0.9391424619640388,0.8695652173913044,3053,ohc,5,131,3.13,3.4,7.0,160.0,5500.0,16,22,,1,2,0,0,3,5,1,1
10,2,192,std,2,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395,ohc,4,108,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,2,3,2,0,3,5,0,1
11,0,192,std,4,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395,ohc,4,108,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,2,3,2,0,3,5,0,1
12,0,188,std,2,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2710,ohc,6,164,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,2,3,2,0,3,5,0,1
13,0,188,std,4,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2765,ohc,6,164,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,2,3,2,0,3,5,0,1
14,1,122,std,4,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3055,ohc,6,164,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,2,3,2,0,3,5,0,1
15,0,122,std,4,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3230,ohc,6,209,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,2,3,2,0,3,5,0,1
16,0,122,std,2,front,103.5,0.9312830370014417,0.9391424619640388,0.8979933110367894,3380,ohc,6,209,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,2,3,2,0,3,5,0,1
17,0,122,std,4,front,110.0,0.9466602594906295,0.9806362378976488,0.9414715719063546,3505,ohc,6,209,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,2,3,2,0,3,5,0,1
18,2,121,std,2,front,88.4,0.6780394041326285,0.8340248962655602,0.8896321070234114,1488,l,3,61,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,3,2,1,0,2,1,0,1
19,1,98,std,2,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1874,ohc,4,90,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,3,2,1,0,3,1,0,1
20,0,81,std,4,front,94.5,0.7630946660259491,0.8796680497925312,0.8695652173913044,1909,ohc,4,90,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,3,3,1,0,3,1,0,1
21,1,118,std,2,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1876,ohc,4,90,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,4,2,1,0,3,1,0,1
22,1,118,std,2,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1876,ohc,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,4,2,1,0,3,1,0,1
23,1,118,turbo,2,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,2128,ohc,4,98,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,4,2,1,0,3,5,1,1
24,1,148,std,4,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1967,ohc,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,4,2,1,0,3,1,0,1
25,1,148,std,4,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1989,ohc,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,4,3,1,0,3,1,0,1
26,1,148,std,4,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1989,ohc,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,4,3,1,0,3,1,0,1
27,1,148,turbo,4,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,2191,ohc,4,98,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,4,3,1,0,3,5,1,1
28,4,110,std,4,front,103.3,0.8390197020663143,0.8934993084370677,1.0,2535,ohc,4,122,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,4,4,1,0,3,1,0,1
29,3,145,turbo,2,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2811,ohc,4,156,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,4,2,1,0,3,4,1,1
30,2,137,std,2,front,86.6,0.6948582412301778,0.8838174273858921,0.8494983277591973,1713,ohc,4,92,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,5,2,1,0,3,0,0,1
31,2,137,std,2,front,86.6,0.6948582412301778,0.8838174273858921,0.8494983277591973,1819,ohc,4,92,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,5,2,1,0,3,0,0,1
32,1,101,std,2,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1837,ohc,4,79,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,5,2,1,0,3,0,0,1
33,1,101,std,2,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1940,ohc,4,92,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,5,2,1,0,3,0,0,1
34,1,101,std,2,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1956,ohc,4,92,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,5,2,1,0,3,0,0,1
35,0,110,std,4,front,96.5,0.7851994233541567,0.8852005532503459,0.911371237458194,2010,ohc,4,92,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,5,3,1,0,3,0,0,1
36,0,78,std,4,front,96.5,0.754925516578568,0.8838174273858921,0.9749163879598662,2024,ohc,4,92,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,5,4,1,0,3,0,0,1
37,0,106,std,2,front,96.5,0.8049014896684287,0.9017980636237899,0.8913043478260869,2236,ohc,4,110,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,5,2,1,0,3,0,0,1
38,0,106,std,2,front,96.5,0.8049014896684287,0.9017980636237899,0.8913043478260869,2289,ohc,4,110,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,5,2,1,0,3,0,0,1
39,0,85,std,4,front,96.5,0.8428640076886112,0.9017980636237899,0.9046822742474917,2304,ohc,4,110,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,5,3,1,0,3,0,0,1
40,0,85,std,4,front,96.5,0.8428640076886112,0.8644536652835408,0.9046822742474917,2372,ohc,4,110,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,5,3,1,0,3,0,0,1
41,0,85,std,4,front,96.5,0.8428640076886112,0.9017980636237899,0.9046822742474917,2465,ohc,4,110,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,5,3,1,0,3,5,0,1
42,1,107,std,2,front,96.5,0.8125901009130225,0.9128630705394192,0.8528428093645485,2293,ohc,4,110,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,5,3,1,0,3,1,0,1
43,0,122,std,4,front,94.3,0.8202787121576165,0.8547717842323651,0.8946488294314382,2337,ohc,4,111,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,6,3,2,0,3,1,0,1
44,1,122,std,2,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1874,ohc,4,90,3.03,3.11,9.6,70.0,5400.0,38,43,,6,3,1,0,3,1,0,1
45,0,122,std,4,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1909,ohc,4,90,3.03,3.11,9.6,70.0,5400.0,38,43,,6,3,1,0,3,1,0,1
46,2,122,std,2,front,96.0,0.8294089380105718,0.9017980636237899,0.8595317725752508,2734,ohc,4,119,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,6,2,2,0,3,7,0,1
47,0,145,std,4,front,113.0,0.9591542527630946,0.962655601659751,0.882943143812709,4066,dohc,6,258,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,7,3,2,0,0,5,0,1
48,0,122,std,4,front,113.0,0.9591542527630946,0.962655601659751,0.882943143812709,4066,dohc,6,258,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,7,3,2,0,0,5,0,1
49,0,122,std,2,front,102.0,0.921191734742912,0.9764868603042877,0.7993311036789298,3950,ohcv,12,326,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,7,3,2,0,5,5,0,1
50,1,104,std,2,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474917,1890,ohc,4,91,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,8,2,1,0,3,1,0,1
51,1,104,std,2,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474917,1900,ohc,4,91,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,8,2,1,0,3,1,0,1
52,1,104,std,2,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474917,1905,ohc,4,91,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,8,2,1,0,3,1,0,1
53,1,113,std,4,front,93.1,0.8015377222489188,0.8879668049792532,0.9046822742474917,1945,ohc,4,91,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,8,3,1,0,3,1,0,1
54,1,113,std,4,front,93.1,0.8015377222489188,0.8879668049792532,0.9046822742474917,1950,ohc,4,91,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,8,3,1,0,3,1,0,1
55,3,150,std,2,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2380,rotor,2,70,3.327500000000001,3.2559499999999946,9.4,101.0,6000.0,17,23,10945.0,8,2,2,0,6,2,0,1
56,3,150,std,2,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2380,rotor,2,70,3.327500000000001,3.2559499999999946,9.4,101.0,6000.0,17,23,11845.0,8,2,2,0,6,2,0,1
57,3,150,std,2,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2385,rotor,2,70,3.327500000000001,3.2559499999999946,9.4,101.0,6000.0,17,23,13645.0,8,2,2,0,6,2,0,1
58,3,150,std,2,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2500,rotor,2,80,3.327500000000001,3.2559499999999946,9.4,135.0,6000.0,16,23,15645.0,8,2,2,0,6,5,0,1
59,1,129,std,2,front,98.8,0.8543969245555022,0.9197786998616875,0.8979933110367894,2385,ohc,4,122,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,8,2,1,0,3,1,0,1
60,0,115,std,4,front,98.8,0.8543969245555022,0.9197786998616875,0.9280936454849499,2410,ohc,4,122,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,8,3,1,0,3,1,0,1
61,1,129,std,2,front,98.8,0.8543969245555022,0.9197786998616875,0.8979933110367894,2385,ohc,4,122,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,8,2,1,0,3,1,0,1
62,0,115,std,4,front,98.8,0.8543969245555022,0.9197786998616875,0.9280936454849499,2410,ohc,4,122,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,8,3,1,0,3,1,0,1
63,0,122,std,4,front,98.8,0.8543969245555022,0.9197786998616875,0.9280936454849499,2443,ohc,4,122,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,8,3,1,0,3,3,0,0
64,0,115,std,4,front,98.8,0.8543969245555022,0.9197786998616875,0.9280936454849499,2425,ohc,4,122,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,8,2,1,0,3,1,0,1
65,0,118,std,4,front,104.9,0.8409418548774628,0.9142461964038727,0.9096989966555185,2670,ohc,4,140,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,8,3,2,0,3,5,0,1
66,0,122,std,4,front,104.9,0.8409418548774628,0.9142461964038727,0.9096989966555185,2700,ohc,4,134,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,8,3,2,0,3,3,0,0
67,4,93,turbo,4,front,110.0,0.9173474291206152,0.9723374827109267,0.9448160535117057,3515,ohc,5,183,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,9,3,2,0,3,3,1,0
68,4,93,turbo,4,front,110.0,0.9173474291206152,0.9723374827109267,0.9816053511705687,3750,ohc,5,183,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,9,4,2,0,3,3,1,0
69,0,93,turbo,2,front,106.7,0.9010091302258529,0.9723374827109267,0.9180602006688964,3495,ohc,5,183,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,9,1,2,0,3,3,1,0
70,4,93,turbo,4,front,115.6,0.9735703988467083,0.991701244813278,0.9414715719063546,3770,ohc,5,183,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,9,3,2,0,3,3,1,0
71,4,122,std,4,front,115.6,0.9735703988467083,0.991701244813278,0.9448160535117057,3740,ohcv,8,234,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,9,3,2,0,5,5,0,1
72,3,142,std,2,front,96.6,0.8664103796251803,0.9751037344398341,0.8494983277591973,3685,ohcv,8,234,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,9,0,2,0,5,5,0,1
73,0,122,std,4,front,120.9,1.0,0.991701244813278,0.948160535117057,3900,ohcv,8,308,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,9,3,2,0,5,5,0,1
74,1,122,std,2,front,112.0,0.9572320999519461,0.995850622406639,0.9264214046822743,3715,ohcv,8,304,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,9,1,2,0,5,5,0,1
75,1,122,turbo,2,front,102.7,0.857280153772225,0.9405255878284924,0.9163879598662207,2910,ohc,4,140,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,10,2,2,0,3,5,1,1
76,2,161,std,2,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,1918,ohc,4,92,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,11,2,1,0,3,1,0,1
77,2,161,std,2,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,1944,ohc,4,92,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,11,2,1,0,3,1,0,1
78,2,161,std,2,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,2004,ohc,4,92,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,11,2,1,0,3,1,0,1
79,1,161,turbo,2,front,93.0,0.7558865929841423,0.8824343015214384,0.8494983277591973,2145,ohc,4,98,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,11,2,1,0,3,6,1,1
80,3,153,turbo,2,front,96.3,0.8313310908217203,0.9045643153526972,0.8260869565217391,2370,ohc,4,110,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,11,2,1,0,3,6,1,1
81,3,153,std,2,front,96.3,0.8313310908217203,0.9045643153526972,0.8260869565217391,2328,ohc,4,122,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,11,2,1,0,3,1,0,1
82,3,122,turbo,2,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2833,ohc,4,156,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,11,2,1,0,3,6,1,1
83,3,122,turbo,2,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2921,ohc,4,156,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,11,2,1,0,3,6,1,1
84,3,122,turbo,2,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2926,ohc,4,156,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,11,2,1,0,3,6,1,1
85,1,125,std,4,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2365,ohc,4,122,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,11,3,1,0,3,1,0,1
86,1,125,std,4,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2405,ohc,4,122,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,11,3,1,0,3,1,0,1
87,1,125,turbo,4,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2403,ohc,4,110,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,11,3,1,0,3,6,1,1
